Title,Original,Generated
Airheads,The amps are on but nobody's home.,They've got it all.
How Bruce Lee Changed the World,"The Hagiography of the Dragon, a Continuing Saga",The story of a man who changed the face of the world.
(500) Days of Summer,It was almost like falling in love.,"A comedy about love, sex, love..."
Tomorrow Is Another Day,The take their lives in their hands... when they take each other in their arms!,The story of a man whose life was turned upside down when he was released from
Popsy Pop,She'd do anything to help them with the heist... and then everything to keep the haul for her own little beautiful self!,It's not easy being a cop.
The Dark Knight Rises,The Legend Ends,The greatest hero of all time is back...
Embryo,From Embryo to woman in 4 and a half weeks.,You can't kill the baby...
The Avengers,Saving the World in Style.,The world's most dangerous man is back...
Last Dance,Sometimes justice is a crime,The story of a man who risked everything in order to save his family.
Ninja Academy,"You don't have to be crazy to join, but if you are, it sure helps...",It's not just a movie.
Heaven's Prisoners,"For an ex-cop obsessed with an unsolved murder, trusting the wrong woman could be a deadly choice.",He's a cop with a badge.
A Matador's Mistress,He defied death like a god... he succumbed to love as a man.,The story of a man who became the most famous man in the world.
Last Holiday,She always thought she was somebody special... and she was.,"It's not just a vacation, it's a journey."
Monkey Kingdom,Adventure is in Full Swing.,It's not just a monkey.
X,A jaded call-girl. A fledgling hooker. The night from hell.,It's never too late to change your life.
"Hi, Mom!","God bless our humble upper-middle-class high-rise co-op and keep it free from smut peddlers, militants, urban guerrillas and Greenwich Village liberals.","It's not just a movie, it's a crime."
16 Years of Alcohol,Trainspotting meets A Clockwork Orange,"The story of 16 years of drinking, drugs and rock and roll."
Brothers,There are two sides to every family.,The story of a man who risked everything to save his family.
The Visitors,They Weren't Born Yesterday!,They're back...
The Demolitionist,"This time, the law takes off their cuffs","It's not murder, it's murder."" - The New York Times"
The Wrong Trousers,Winner of the 1993 Academy Award for Best Animated Short.,It's not just a game...
Just the Ticket,"Irresponsible, Unreliable, Unpredictable and totally Irresistible.",The story of one man's quest to make the world a better place.
Tag,All high school girls out there you are a little too obnoxious so we decided to reduce your numbers.,It's not just a girl's dream...
Relative Fear,Trusting your children can be deadly.,He's a kid who's just got to learn to talk.
Beneath the Valley of the Ultra-Vixens,Six Chicks in search of a Cluck! ...and so hilariously funny!,Love is the only thing that can stop a man from falling in love.
SORI: Voice from the Heart,I think this robot will find my daughter...,It's not just a robot.
Them!,The Amazing New Warner Bros. Sensation!,It's not just a movie.
Rock Star,The story of a wanna be who got to be.,A story about a band that rocked the world with their music.
The Last Challenge,Killer VS Killer,"He's got a lot of guns, but he's not going to let anyone"
The Howling,Imagine your worst fear a reality,They're not what you think they are.
"Walk Softly, Stranger",A Strange Lie! A Strange Love!,The story of a man who made the world a better place.
Rio Diablo,"One's Out For Blood. One's Out for Money. Together, They're in for an unforgettable adventure.",It's not just about the money...
Creature from the Black Lagoon,From the Amazon's forbidden depths came the Creature from the Black Lagoon,Discover the true story of a mythical creature that has escaped from the depths of hell
Bambi,A great love story.,The story of a prince who learns to live by the rules.
Once Upon a Honeymoon,Gee it's great to be together at last on another fellows honeymoon!,The story of a man who risked everything to save a woman.
"Next Stop, Greenwich Village",1953 Was a Good Year for Leaving Home,The story of a man who made it his life's work.
The Class,The dynamics of a multicultural class and its teacher will enlighten.,The story of one man's struggle to make sense of the world.
White Lightning,"If You Haven't Seen ""White Lightning"" You Haven't Seen Burt Reynolds","It's not about the money, it's about who you trust."
Kim,Famed Spectacular Adventure Story Filmed Against Authentic Backgrounds in Mystic India The Greatest Spy Thriller of Them All!,The story of one man's struggle to become the greatest spy in history.
Blush,A girl falling in love.  A family falling apart.,The story of a girl who was born to be a drug addict.
Under the Salt,Some things should be kept beneath.,It's not just a case of murder...
Missile to the Moon,Lunar She-Devils Lure Earthmen Into Their Lair of Doom!,"It's not rocket science, it's space travel."
Survivor,His Next Target is Now Hunting Him,It's not easy being a cop in the middle of nowhere.
American Friends,An education in love,"A comedy about love, friendship and the world of the Fellowed."
Times Square,"In the heart of Times Square, a poor girl becomes famous, a rich girl becomes courageous, and both become friends.","A comedy about love, sex, drugs and rock and roll."
To the Fore,Attitude is everything.,It's not easy being a kid.
Carry On Spying,Cloak And Dagger Operations Exposed. Secret Agent Charlie Bind O.O.O.H! Takes The Lid Off The Funniest Spy Story Of The Year!,"The world's most feared agent is back in action!"" -- The Hollywood Reporter"
Innerspace,This summer take a trip you'll never forget.,The only thing worse than losing your life is losing it again.
Jaane Tu... Ya Jaane Na,So when do you know it's love?,"A comedy about love, friendship, romance, love and love."
Shock 'Em Dead,"For the girl of his dreams, he'd make a deal with the devil.","He's got a lot of women, but he doesn't have a job."
The Amazing Panda Adventure,"In the sweeping highlands of China, a boy begins a magical journey to save the life of a natural wonder.",A journey that will change your life forever.
One Week,What Would You Do?,It's not going to be easy.
Playground,The Child Sex Trade in America,The story of the world's largest paedophile network.
Ran,The Greatest Shakespeare Film,The story of one man's struggle to save the world from the evil empire of
The Secret World of Arrietty,Do not be seen by humans. That's been the law of children of the underfloor.,Welcome to the world of Clock House
The Lawnmower Man,God made him simple. Science made him a god.,The story of a man who became the greatest genius in history.
Rage,They called it an accident. He called it murder. It was their conspiracy. It was his son.,The truth is stranger than fiction.
War Room,Prayer is a Powerful Weapon,"When you pray for your family, you can't fight for yourself."
"Now You See Him, Now You Don't",He's going... going... gone!,It's not just a trick...
The Babymoon,There is no TripAdvisor for this adventure...,"A comedy about love, family, and the world at large."
To Catch a Thief,WANTED by the police in all the luxury-spots of Europe!... A catch for any woman!,It's not just a movie...
That Naughty Girl,"Come in at the Middle, Beginning, or Even Tell the Ending... Anytime is BARDOT TIME!",It's not what you think...
Bee Movie,Born to bee wild.,"It's not honey that kills bees, it's the bees."
Unforgettable,He loved her. He lost her. He won't let her memory die... until it tells him who killed her.,The truth is stranger than fiction.
A Place at the Table,One Nation. Underfed.,The story of one family's struggle to feed themselves.
Decoy,She Treats Men the Way They've Been Treating Women for Years!,The story of a woman who became a serial killer...
Stigmata,The messenger must be silenced.,"It's not what you believe, it's who you are."
The Lovers,Love is longer than life.,"A story of love, war and the future."
Shelter,Home is where you least expect to find it,Sometimes you have to change your life to make it right.
Most Wanted,Sometimes the most patriotic thing a Marine can do...is disobey orders. From most honored to Most Wanted.,"He's a tough guy, but he's also a killer."
Trance,Don't be a hero.,"It's not what you think, it's how you feel."
Sunshine Barry & the Disco Worms,Disco will never be the same again,"Barry Barry is a disco star, but he doesn't have a band."
The Toy,"When U. S. Bates told his son he could have any present he wanted, he picked the most outrageous gift of all... Jack Brown.","A comedy about friendship, love, and being a man."" -- The New York"
The Mask,From zero to hero.,It's not just a mask.
Blue City,It's below Miami and above the law.,He's back...
Natsamrat,The King Of Theatre,"A comedy about life, love, death, and love itself."
Prosecuting Casey Anthony,The verdict that no one saw coming.,The truth is always stranger than fiction.
Holly,"Out of thousands, he tried to save one.",The story of a girl who was sold to a brothel by a gang of
The Spy Who Loved Me,It's the BIGGEST. It's the BEST. It's BOND. And B-E-Y-O-N-D.,The most dangerous man in the world is back!
Stage Door,GREAT STARS! GREAT STORY! GREAT PICTURE!,"A comedy about life, love and the power of being yourself."
National Geographic American Blackout,Where Will You Be When The Lights Go Out?,How far would you go to protect the future of the world?
The Iron Rose,A strange love story.,There's no such thing as a safe walk in the cemetery.
Don Juan,A Super Spectacle Depicting the Romantic Adventures of THE LORD OF ALL LOVERS!,The story of a man whose life was turned upside down when he met a woman
Lo,Love is Hell,"A comedy about love, friendship, and love at first sight."
The Mad Monster,The blood of a wolf he placed in the veins of a man... and created a monster such as the world has never known!,The blood of a wolf is thicker than a man's heart.
2081,Everyone Will Finally Be Equal,"The future is about to be unleashed."" [from IMDB]"
Head,What is HEAD all about? Only John Brockman's shrink knows for sure!,It's not a game...
Forced Vengeance,A walking weapon that never misses!,He's the only one who can stop the mob from taking over the world.
Bandit Queen,Revenge was her reply.,She was born a warrior.
The Wannabe,Respect isn't earned. It's stolen.,The story of the man who changed the face of crime forever.
1942: A Love Story,1942,"The story of a woman who fought for her country, her family, and her"
The Hand,Nothing Will Prepare You For THE HAND.,It's not just a hand...
The Old Dark House,READY! SET! LAUGH! Join the fun in a nut-house of terror!,"It's not what you think, it's what happens to you."
G.I. Blues,Elvis scores... A Singing Triumph... And A Romantic Hit!,He's a gambler's dream come true...
Forbidden,Her Greatest Dramatic Role !,The story of a woman who became the first woman to become a politician.
Set It Off,It's about crime. It's about payback. It's about survival.,The story of four women who made it big in the underworld.
Heal the Living,"One moment leads to another, one life leads to the next",The story of a girl who was born to surf.
The Devil's Rock,War is a Bitch,The battle for the hearts and minds of the men and women of World War II
MindGamers,A sub-atomic fight for the subconscious.,You can't control the future.
The Young Messiah,"Before he was the savior, he was a child.","A story about faith, love, forgiveness, and the power of the Holy Spirit"
The War Wagon,The War Wagon Rolls And The Screen Explodes!,Revenge is the only weapon that can stop a man from killing.
Georgia Rule,"In this family, attitude doesn't skip a generation.",Every family has a secret.
Big Money Rustlas,"The good, the bad and the outrages!",They're Back!
Jinnah,"He fought for justice, and made Pakistan.",The story of one man's struggle to save the world from a world of darkness
Avalon,Dare to enter a world of future videogames.,It's not just a game...
There's Always Woodstock,Let your heart sing,It's not what you think it is.
New York Confidential,When these guns go off they set off the biggest screen explosion about the violence-and-vice merchants ever made public!,The story of one man's fight for justice against the mob.
Krush Groove,It's chillin'!,"The story of a man who made a mistake, and then made it right."
Idle Hands,The touching story of a boy and his right hand.,He's a kid who just wants to be a normal kid.
The Incredible 2-Headed Transplant,Two heads crafted on the body of a giant... The most fearsome living force ever created by man.,It's not just a body...
The Innocents,Apparitions? Evils? Corruptions?,It's not just a house...
In the Army Now,"Sleep tight, America! The safety of the free world rests in his hands!","It's not just a war, it's a lifestyle."
The Last Mimzy,An intergalactic package from light years away unleashes an adventure beyond imagination.,"It's not what you think it is, it's who you are."
Don't Open Till Christmas,"…t'was the night before Christmas, and all through the house, not a creature was stirring… they were all dead!",It's Christmas Eve and the world is about to be rocked.
Deadly Species,"In this jungle, the endangered species is... man",It's not just a game...
Angel Dog,Angel,He's the only one who can save his family...and the world.
The Moderns,"Paris, 1926...there was nothing more modern.",The story of a man and a woman who met and fell in love.
Diabolique,Two women. One man. The combination can be murder.,"It's not what you think it is, it's how you feel."
She,Sandahl Bergman tempted Conan and now she is ready to take on the world!,The story of a boy and a girl who fight to survive.
Rain,Be careful what your heart desires.,"A comedy about love, sex and death."
Dirty Movie,There's always room for a dirty joke.,The funniest laugh of them all.
Week-End at the Waldorf,FORTY-EIGHT EXPLOSIVE HOURS!,It's not just a movie.
Held Up,Best. Heist. Ever.,"It's never too late to save the day."" [IMDb]"
Caddyshack,The snobs against the slobs!,It's all about the money.
The Black Sleep,The Terror Drug That Wakes the Dead!,You can't kill them all.
The Violent Four,The Bank Bandits... Gunning a City to it's Knees,Two men.
Pretty Baby,"In 1917, in the red-light district of New Orleans, they called her ""Pretty Baby""",The story of a girl who was raised by a man who loved her.
The Valley,Obscured by clouds,The story of a woman's journey to discover the true meaning of life.
Frankenstein Must Be Destroyed,The Most Frightening Frankenstein Movie Ever!,The most terrifying monster ever to terrorize the human race.
To Have and Have Not,TALK ABOUT T.N.T.! THIS is IT!,The story of a man who risked everything to save his country.
Hotel Transylvania,Where monsters go to get away from it all,It's not just a place to stay...
The Young Offenders,Not all plans are idiot proof,The story of the biggest drug bust in Irish history.
The Great Northfield Minnesota Raid,The West the way it really was!,"It's not just a bank robbery, it's a murder."
The Canyon,Surviving is just the beginning,"There's no such thing as a safe place to be."" -- The Hitchh"
For Colored Girls,Many voices. One poem.,Every woman has a story to tell.
Little Odessa,Brothers in blood. Partners in crime.,A father's life is turned upside down when his son is killed.
Little Sister,To get to Diana . . . Bobby had to create Roberta . . . now he's her . . . LITTLE SISTER,It's not just a game...
The Take,Meet the brother with a badge... on the take!,"He's a cop, but he's also a crook."
Prison Break: The Final Break,Prepare yourself for the truth,"In the end, justice will be served."
A Sound of Thunder,Some Rules Should Never Be Broken.,It's not just a game.
The Alamo,You will never forget,The story of two men who fought for their country and their freedom.
Graffiti Bridge,Music is the power. Love is the message. Truth is the answer.,The Prince of Rock and Roll is Back!
What Matters Most,Sometimes Love Can Silence All Reason,A love story that will change your life forever.
Laws of Attraction,Love always has the last word.,A love story that will change your life forever.
Teen Wolf Too,High school was easy. But college is a whole different ANIMAL.,He's got a lot to learn about the world of werewolves.
Can't Stop the Music,The Musical Comedy Smash of the 80's!,It's not just a movie.
Cat Sick Blues,All he needs is nine lives.,"It's not just a cat, it's a nightmare."
Out California Way,It's Gotta Be A Great Picture! It has a new color process... TRUCOLOR!... a great western star... Monte Hale... and All your greatest western favorites... in an exciting outdoor adventure!,The story of a cowboy with a big heart and big dreams.
Bombardier,See the bombing of Tokyo before your very eyes,The Battle of the Bulge...The Battle for the World!
Private Parts,"Cheryl is a lovely girl... but to George, she's a living doll.",She's the hottest girl in the world.
The Morning After,Last night she drank to forget. Today she woke up to a murder. Is he her last hope or the last man she should trust?,She woke up in the middle of nowhere.
Bait,Alvin Sanders is going to help the Feds catch a killer. He just doesn't know it yet.,The story of a man who risked everything to save the world.
The Redwood Massacre,Evil Doesn't Die Easily,There is no such thing as a safe camping trip.
Rise of the Gargoyles,Evil takes flight.,It's not just a zombie.
Captain America: The First Avenger,When patriots become heroes,The greatest hero of all time is about to be reborn.
The Hawaiians,"The continuation of James A. Michener's epic novel, Hawaii!",The story of a man who finds himself in the middle of the wilderness.
As Good as It Gets,A comedy from the heart that goes for the throat.,"A comedy about life, love, and the dog."
Gangs of Wasseypur,A son seeks vengeance when his father is killed by a coal mine owner.,The story of a man who risked everything to save his family.
The Stranger Within,Careful who you let in,"It's not what you think, it's what happens to you."
Crime and Punishment,I am Sonya! You don't know who or what I am... the police know! They know I'm in love with a murderer! But a woman like me might still save a man's soul!,"It's not murder, it's revenge."
Quints,As if life at 14 isn't twisted enough.,"The story of a mother, a father and a baby."
Page One: Inside the New York Times,"This year, the biggest story is their own.",The story of how the world's most powerful news organization became the most influential news
The Lost World: Jurassic Park,Something has survived.,"It's not just a movie, it's a science experiment."
The Member of the Wedding,She became a woman in the middle of a kiss!,"A comedy about love, loss, and redemption."
Talking Funny,A legendary discussion about what's so funny about being funny.,A comedy about being a comedian.
Dishonored,Can a Woman Kill a Man With Who She Has Known a Night of Love ?,He's a spy.
Even the Rain,"Spain Conquered the New World for Gold 500 Years Later, Water is Gold Not Much Else has Changed...",The story of a man who risked everything to save the world.
Home Alone,A Family Comedy Without the Family.,"It's not Christmas, but it's nice to be home."
The Butterfly Tattoo,"From the moment they fell in love, secrets from a hidden past would tear them apart","It's the summer of love, and it's not what you think."
Ward 13,What price would you put on your health?,You can't run away from it.
Death of a Scoundrel,"Men, Women... he used them, ruined them on his fantastic march to self-destruction",The story of a man who made a fortune by selling women.
Down by Law,It's not where you start - It's where you start again.,Three men.
Fear Lives Here,He just wants to play a game.,You can't escape your past.
Home Before Dark,A pretty girl and the stunning shock that marriage brings her!,The story of a woman whose life was turned upside down when she returned home to
Eye of the Cat,Terror that tears the screams right out of your throat!,It's a cat and mouse game.
The Patrol,"If you know neither yourself nor your enemy, you will lose every battle",The battle for the hearts and minds of our men and women.
Cherry Tree Lane,No warning. No mercy. No escape.,"A comedy about love, family, and friendship."
Allegiant,Break the boundaries of your world,"The world is about to get a little wilder."" -- The New York Times"
Hunger,How far would you go to survive?,Fear is the only weapon they have.
Loving,Trust was something she took for granted,The story of a man whose life is turned upside down when he meets a beautiful
High School Musical,This School Rocks Like No Other!,"A comedy about love, friendship and the power of music."
Pieces of Talent,Beautiful Horror,"It's not what you think it is, it's how you feel."
The Squid and the Whale,Joint custody blows.,A story about a boy who was raised by his parents and raised to be a
They Call Me Bruce?,A chopstick comedy!,The funniest thing about being a Chinese immigrant is that you don't have to
London Has Fallen,The world's leaders have assembled. So have their enemies.,The world's leaders are about to be murdered...
The Impossible,Nothing is more powerful than the human spirit.,It's not Christmas.
Aakrosh,There is no honour in honour killing,The story of three friends who disappeared in the middle of nowhere.
The Wind and the Lion,"Between the wind and the lion is the woman. For her, half the world may go to war.",The story of a woman who risked everything to save the world.
Border Incident,The Shame of Two Nations!,Two agents.
Eight Below,"The Most Amazing Story Of Survival, Friendship, And Adventure Ever Told.",It's not easy being a dog.
"Namu, the Killer Whale",Make Room In Your Heart For A Six-Ton Pet!!!,It's about to get a little hairy.
The Hunters of the Golden Cobra,He had two choices. Find the treasure... or lose his life!,It's not just a movie.
Girls Against Boys,Bad girls don't cry. They get even.,It's not what you think it is.
Dredd,Judgement is coming,"Justice is the only thing that matters."" [via Comic Book Movie]"
Raise Your Voice,Don't Hold Back ...Don't Give Up.,It's not going to be easy being a girl in LA.
The Hills Have Eyes,The lucky ones die first.,"It's not what you think it is, it's how you feel."
Caged Women,"The strong ones take, the weak ones give.",She's the only one who can save the world from the evil that is the
Love Field,Her life began when her world fell apart.,The story of a woman who risked everything to save her family.
No,"¡Adiós, Pinochet!",The only thing more dangerous than a coup is a revolution.
Uptown Saturday Night,They get funny when you mess with their money.,The funniest comedy of all time!
Classic Albums: Deep Purple - Machine Head,Classic Albums,The Story of Machine Head
Tempted,I want to believe I can trust her...So I want to pay you to seduce my wife,"It's not what you think, it's what happens to you."
The Promise,"A love, a hope, a wall.",The story of a man who risked everything to save the world.
Barbara,A Story of Love and Subterfuge with Simmering Intelligence.,The story of a woman who was forced to choose between love and duty.
Addams Family Values,The Family Just Got A Little Stranger,It's not just a black widow's dream.
The Blackout,The darkest secrets are the ones we hide from ourselves,How far would you go to get what you want?
"Have a Good Funeral, My Friend... Sartana Will Pay","A Present for You, Amigo... A Coffin from Sartana",He's not afraid of the law.
Ghosts of the Abyss,The legend no one can forget has become the greatest adventure ever filmed.,The story of a man who risked everything to save the lives of millions.
Something from Nothing: The Art of Rap,Hip Hop didn't invent anything. Hip Hop reinvented everything,The art of rap is alive and well in the streets of New York.
When Good Ghouls Go Bad,Rest in peace,He's back...
In the Company of Men,Are all men bastards...or just misunderstood?,"It's not what you think it is, it's how you feel."
The Teahouse of the August Moon,All The Riotous Fun Of The Prize-Winning Stage Comedy!,The story of a man and a woman who fought for their country.
Dead End,Read the signs.,"It's not Christmas, but it's a good time to do it."
"Hush... Hush, Sweet Charlotte",The years will soon erase a lover's lies...the blood on his face!,It's not what you think it is.
Akeelah and the Bee,Changing the world... one word at a time.,"It's not just a bee, it's a speller."
Stealing Beauty,The most beautiful place to be is in love.,The story of a girl who became a sculptor and a boy who fell in
The Eye,How can you believe your eyes when they're not yours?,"What if you could see the past, present and future of a ghost?"
Spring Break Shark Attack,Spring Break. Some come to party. Others come for the buffet.,It's not just a beach...
Hot Wheels Acceleracers: Ignition,Drive to Survive!,It's not just a race.
August,"It's really how life can appear with desillusions, good and funny moments, peace, love and hate.",A comedy about a family who live in harmony with each other
Undisputed II: Last Man Standing,Wrongfully Accused. Unjustly Imprisoned. Now He's Fighting Back.,Iceman is back!
"Rudolph, the Red-Nosed Reindeer",You might even say it glows!,He's back!
Effie Gray,The Celebrity Scandal of the Victorian era,The story of one man's love affair with a beautiful young woman.
The Rocking Horse Winner,Exciting As Your Wildest Dreams!,You can't win a race without winning a heart.
Cujo,Now there's a new name for terror...,The story of a man who fought to save the world from the plague.
1941,Paranoia meets pandemonium.,There's only one way to get out of this mess...
Puppet Master,Evil comes in all sizes!,The Puppet Master is Back
Seven Psychopaths,They Won't Take Any Shih Tzu.,The story of a man who made a mistake and became a hero.
Sweet Revenge,"A scarring tale of white slavery, murder... and vengeance!",The story of a woman who risked everything to uncover the truth.
The Winding Stream,"The Carters, The Cashes, and the course of country music",A story about the music that changed the face of music forever.
Monster Island,Tickets to Paradise... or ParaSITES?,"It's not just a movie, it's a monster movie."
Grand Slam,These men are in... for the crime of their lives.,It's not just a robbery...
In Search of the Castaways,"A Thousand Thrills, And Hayley Mills!",The story of a man who risked everything to save the world.
Black Belly of the Tarantula,With needles dipped in deadly venom the victims are paralyzed - so they must lie awake and watch themselves die!,The story of a serial killer who killed his victims in cold blood.
Last Tango in Paris,Bernardo Bertolucci's Landmark Film,"It's not about sex, it's about love."
Quartet,Four Friends Looking For A Little Harmony,There's a lot going on in the life of a woman.
Karate-Robo Zaborgar,"In 2011, A Robo Legend Will Rise Again",The world's greatest martial arts tournament is about to take place.
976-Evil II,Call if you dare!,Evil is coming to town.
Teenage Mutant Ninja Turtles: Out of the Shadows,Raise some shell.,It's not just a game...
7 Seconds,Timing is everything.,It's not just a painting...
The Friends of Eddie Coyle,"It's a grubby, violent, dangerous world. But it's the only world they know. And they're the only friends Eddie has.",The story of a man who made it his mission to rob a bank.
Guardians of the Galaxy,All heroes start somewhere.,The world is about to get a little weird.
El cantante,"Based on the true story of the King of Salsa, Hector Lavoe",A story of a man who rose to the top of the world
Elves,They're Not Working For Santa...Anymore,Evil is coming to town.
Altar,Some secrets are best left hidden,It's not just a house...
Zatôichi: The Blind Swordsman,Darkness is his ally.,The true story of one of Japan's most feared assassins.
Ejecta,We were never alone.,"It's not what you see, it's how you feel."
The Siege of Firebase Gloria,Against all odds they went to hell and back.,The battle for the hearts and minds of our men and women in Vietnam.
He Never Died,Bullets. Blood. Bingo.,He's the only one who knows what happened to his family.
I Am Not a Serial Killer,Every town has its monsters,He's not afraid of death...
The Star of Bethlehem,Unlock the Mystery of the World's Most Famous Star,The true story of a star that changed the world forever.
Woodenhead,A Grimm Musical Fairytale,"A comedy about love, friendship and adventure."
Road 47,No retreat. No surrender.,The story of a group of men who risked everything to fight for freedom.
The Perfect Human,"Look at him now, look at him all the time.",The perfect human is a man who is perfect in every way.
An American Carol,Laugh like you're country depends on it.,It's a holiday that's about to get a little crazy.
Hellraiser III: Hell on Earth,"What started in hell, will end on Earth",It's not just a puzzle...
The Blue Lagoon,A sensuous story of natural love.,"A story of love, adventure and adventure."
The Secret of Santa Vittoria,"In the beginning there was Bombolini the fool, Bombolini the drunk, Bombolini the joke. In the end there was Bombolini the mayor, Bombolini the hero, Bombolini the beautiful. In between is the secret of Santa Vittoria.",The story of a man who risked everything to save his country.
Father of Invention,Sometimes the best ideas are homegrown.,The story of the man who made the world a better place.
World for Ransom,He was lured kiss-by-kiss into an incredible plot to destroy the world!,The story of one man's quest to become the greatest soldier in history.
Moshe Kasher: Live in Oakland,Kasher in the Rye,"A comedy about life, love, and death."" -- The New York Times"
Crocodile,Ever feel like something is watching you?,"It's not what you think it is, it's how you feel."
Living It Up,THEY'RE LAFFIN' IT UP!,The story of a man who risked everything to save the world.
Everybody's Fine,Frank's travelling light but carrying excess baggage.,The story of a father and a son.
Never So Few,Kiss by kiss the time ran out and never so few were the moments left for love!,The story of one man's struggle to survive in the face of the world's
Nightmare,THREE SHOCKING MURDERS...did she DREAM them? ...or DO them?,"The nightmare begins when you wake up in the hospital."" [from the film]"
Made in Heaven,"12,000 babies will be born in the United States today. Two will already have fallen in love.",How far would you go to find your true love?
The Purge: Anarchy,"Welcome to America, where one night a year, all crime Is legal.",The story of three people.
Trial,Tense! Timely! Thrilling!,It's not a case of murder...
Sirens,"In the 1930s, an artist and his models scandalized a nation with their controversial paintings. For a young couple, meeting them was the experience of a lifetime.",The story of a man and a woman who met and fell in love.
Coonskin,This is it Folks!,It's not just a movie.
Drive Hard,One Hell of A Ride,It's a race against time to save the man who stole his life.
Breaking All the Rules,She's got one last day to do everything one last time!,It's summertime and they're all about to get married.
Paper Towns,Get Lost. Get Found.,She's the only one who knows who she really is.
Gettin' It,Size Does Matter...,It's not what you think it is.
Tonite Let's All Make Love in London,Swinging London 66-67,There's no such thing as a '60s rock' concert.
Shrink,The Doctor is Out,It's not what you think it is.
The Apocalypse,"The story about St. John, his visions, and the time he spent on the Island of Patmos.",The story of a man who was crucified for a crime he didn't commit
The Drum,MEN BATTLE FOR THEIR LIVES... WOMEN FIGHT FOR THEIR LOVE... IN A MIGHTY SAGA OF CONQUEST ON INDIA'S FRONTIER,The story of a prince and his band of merry men.
Pineapple Express,Put this in your pipe and smoke it.,He's got a killer on his mind.
Wake in Fright,"Have a drink, mate? Have a fight, mate? Have some dust and sweat, mate? There's nothing else out here.",It's not what you think it is.
Dave,"In a country where anybody can become President, anybody just did.",A comedy about a man who can't get out of bed.
Fire Down Below,THREE OF THE BIGGEST IN ONE OF THE BEST!,The story of a man who risked everything to be with a woman he loved.
I'll Be There,A rock-star father. A long-lost daughter. Comedy is relative.,He's a rockstar.
The Man Who Watched Trains Go By,A Non-Stop Suspense Thriller,The story of a man who thought he had it all...
Flash Gordon,He'll save every one of us!,The greatest adventure of all time!
Khal Nayak,The Heroism of a Villain,"He's got a lot on his mind, but he can't control it."
The Phantom,The most fantastic...most exciting serial ever made!,The greatest adventure of all time!
Attack of the Giant Leeches,Massive Blood Sucking Monsters!,There's no such thing as a dead body in this swamp.
Ill Manors,We are all products of our environment ...some environments are just harder to survive in,The story of one man's journey into the heart of London.
The Master and Margarita,Manuscripts don't burn!,"A story of love, betrayal and betrayal"
Without Warning,It Preys On Human Fear. It Feeds On Human Flesh.,"It's not what it looks like, it's who it is."
Grand Theft Auto,See the greatest cars in the world destroyed!,She stole the Rolls.
Killer's Kiss,Her Soft Mouth Was The Road To Sin-Smeared Violence!,"A comedy about life, love and the fight for your life."
The Pixar Story,Documentary about the history of Pixar animation,"The story of the greatest animation studio in the world."" -- The New York Times"
The Constant Gardener,Love. At any cost.,He's a spy.
2:37,Sometimes being young is the toughest job of all.,"It's not what you think it is, it's how you feel."
Jade Warrior,Tao minulle Sampo niin saat rakkaasi takaisin (Forge me the Sampo and you will get your loved one back),"An epic tale of love, destiny and the power of the sword."
Pete's Dragon,Some secrets are too big to keep.,"It's not what you think it is, it's who you are."
Having You,"Life is never easy, but for Jack it's about to get a whole lot harder.",You can't have a baby without a father.
The Work and the Glory,One Man....A Remarkable Vision; One Family....A Desperate Struggle,The story of a man who risked everything to save the world.
Brain Donors,Three bozos. One ballet company. Tutu many laughs!,"It's all about the money, the power and the chance."
The Tillman Story,a mystery. a cover up. a crime. one family will risk everything for the truth.,The story of a man who risked everything to fight for his country.
Harper Valley P.T.A.,The song was scandalous. The movie is hilarious!,She's got it all...except for one thing she doesn't have.
Terror Is a Man,For People With NERVES Of Iron Only!,It's not just a monster...
Trick,A story about two guys trying to make it in the big city.,"A comedy about love, sex, love..."
23 Paces to Baker Street,STEP-BY-STEP...,It's a race against time to save the child.
The Cold Light of Day,Be careful who you trust.,The story of a man who risked everything to protect the truth.
Midnight Crossing,"In a storm of desire, deception and murder... four people are about to be swept away.",The story of a woman who made the ultimate sacrifice to save the world.
Brighton Rock,Grahma Greene's Shocking Thriller of the RAZOR GANGS!,The story of one man's rise to the top of the British criminal underworld.
Girl Asleep,Fifteen is going to turn a corner. It has to.,"It's not what you think it is, but what it really is."
The Devil Dared Me To,"Live fast, die faster",It's not just a stunt...
Home Invasion,Help is on the way. If you live that long.,She's the only one who knows how to get out of here.
Dealing: Or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues,"Peter and Susan. Harvard and Berkeley. Rock and grass. And then suddenly stake-outs and the ""mob"" and bullets. Real bullets!",The story of a man who made it his mission to make it illegal.
Trailer Park Boys: Countdown to Liquor Day,The only difference between you and them is a coupla drinks.,The Boys are back!
Walt & El Grupo,"With the world on the brink of war, and the Nazi influence growing in South America, the U.S. Government sought help from a bunch of artists.",It's a trip you'll never forget.
I Am Sam,love is all you need,Love is the most powerful weapon in the hands of the devil.
"Steamboat Bill, Jr.",The Laugh Special of the Age. See It.,A comedy about a man who doesn't know what to do with himself.
Firequake,Prepare to be extinguished,The world is about to be destroyed by a new kind of power.
The Pacific,Hell was an ocean away,The true story of the men and women who fought to protect our nation.
Viva,Find your voice,"A story about love, loss and redemption."
Captive,Faith. Redemption. Survival.,The purpose-driven life is a journey.
Dead in the Water,If you think you know your friends... think again.,The story of a family.
